,Numéro de mesure,Longitude,Latitude,Position,Insee,Adresse,Complément,Code postal,Commune,Date de mesure,Mesure réalisée,Rapport,Conformité de la mesure,Niveau_global,Type d'environnement,Laboratoire,target
62,7021,3.66,43.395559999999996,"03° 39' 36.00'' Est, 43° 23' 44.00'' Nord",34301,Avenue Jean Monnet,"Sur la terrasse de M. DUMONT au RDC, résidence ""La Corvette"".",34200,SETE,19/10/2005,En extérieur,FicheMesure7021.pdf,Oui,0.24,Rue / Route / Parking,CSTB - Saint Martin d'Heres,1
63,7022,3.6661099999999998,43.395559999999996,"03° 39' 58.00'' Est, 43° 23' 44.00'' Nord",34301,19 Boulevard Joliot Curie,Sous le préau du lycée Joliot Curie.,34200,SETE,19/10/2005,En extérieur,FicheMesure7022.pdf,Oui,0.29,Rue / Route / Parking,CSTB - Saint Martin d'Heres,1
64,7168,3.8852800000000003,43.60611,"03° 53' 07.00'' Est, 43° 36' 22.00'' Nord",34172,24 Avenue du Pont Juvenal,Sur le trottoir en face de l'école de formation FORMATEP-ETEC,34000,MONTPELLIER,16/11/2005,En extérieur,FicheMesure7168.pdf,Oui,0.0,Rue / Route / Parking,AEXPERTISE,1
65,7169,3.8847199999999997,43.60722,"03° 53' 05.00'' Est, 43° 36' 26.00'' Nord",34172,Avenue des Etats du Languedoc,"A l'arrière de la cours de la crêche Antigone, à coté de la cabine téléphonique",34000,MONTPELLIER,16/11/2005,En extérieur,FicheMesure7169.pdf,Oui,0.0,Rue / Route / Parking,AEXPERTISE,1
66,7306,3.87194,43.60778,"03° 52' 19.00'' Est, 43° 36' 28.00'' Nord",34172,Rue des Soldats,Le long de l'enceinte de l'école.,34000,MONTPELLIER,08/12/2005,En extérieur,FicheMesure7306.pdf,Oui,0.0,Rue / Route / Parking,CSTB - Saint Martin d'Heres,1
67,7307,3.87111,43.60722,"03° 52' 16.00'' Est, 43° 36' 26.00'' Nord",34172,26 Cours Gambetta,Au pied de l'immeuble,34000,MONTPELLIER,08/12/2005,En extérieur,FicheMesure7307.pdf,Oui,0.0,Rue / Route / Parking,CSTB - Saint Martin d'Heres,1
68,7308,3.87111,43.60722,"03° 52' 16.00'' Est, 43° 36' 26.00'' Nord",34172,Cours Gambetta,Devant le bâtiment de la CRAM.,34000,MONTPELLIER,08/12/2005,En extérieur,FicheMesure7308.pdf,Oui,0.0,Rue / Route / Parking,CSTB - Saint Martin d'Heres,1
69,7309,3.89833,43.59167,"03° 53' 54.00'' Est, 43° 35' 30.00'' Nord",34172,Avenue du Docteur Jacques Fourcade,En bordure du complexe sportif de la Rauze.,34070,MONTPELLIER,09/12/2005,En extérieur,FicheMesure7309.pdf,Oui,0.0,Rue / Route / Parking,CSTB - Saint Martin d'Heres,1
70,7310,3.89361,43.59278,"03° 53' 37.00'' Est, 43° 35' 34.00'' Nord",34172,Rue de Saint Hilaire,"Devant l'entrée de ""Coste Peinture"".",34070,MONTPELLIER,09/12/2005,En extérieur,FicheMesure7310.pdf,Oui,0.0,Rue / Route / Parking,CSTB - Saint Martin d'Heres,1
71,7311,3.89667,43.59333,"03° 53' 48.00'' Est, 43° 35' 36.00'' Nord",34172,Rue de Saint Hilaire,Sur le parking de l'école maternelle Paul Eluard.,34070,MONTPELLIER,09/12/2005,En extérieur,FicheMesure7311.pdf,Oui,0.0,Rue / Route / Parking,CSTB - Saint Martin d'Heres,1
72,7760,3.81861,43.62361,"03° 49' 07.00'' Est, 43° 37' 25.00'' Nord",34172,53 Rue de Salamanque,Devant la stèle Groupe scolaire Salamanque,34080,MONTPELLIER,20/12/2005,En extérieur,FicheMesure7760.pdf,Oui,0.0,Rue / Route / Parking,AEXPERTISE,1
73,7761,3.8122199999999995,43.64,"03° 48' 44.00'' Est, 43° 38' 24.00'' Nord",34172,135 Allée des Hauts de Montpellier,"Au bord du stade, à côté du pylône d'éclairage près du club house Les Tristons",34080,MONTPELLIER,20/12/2005,En extérieur,FicheMesure7761.pdf,Oui,4.1,Divers,AEXPERTISE,1
74,7762,3.9083300000000003,43.611670000000004,"03° 54' 30.00'' Est, 43° 36' 42.00'' Nord",34172,175 Rue Edouard Villalonga,Sur le palier de la porte fenêtre de l'école Sarah Bernardt,34000,MONTPELLIER,19/12/2005,En extérieur,FicheMesure7762.pdf,Oui,0.64,Rue / Route / Parking,AEXPERTISE,1
75,7763,3.8891699999999996,43.610279999999996,"03° 53' 21.00'' Est, 43° 36' 37.00'' Nord",34172,528 Boulevard Antigone,"A l'angle de l'école élémentaire Périclès, côté boulevard Antigone",34000,MONTPELLIER,19/12/2005,En extérieur,FicheMesure7763.pdf,Oui,0.23,Rue / Route / Parking,AEXPERTISE,1
76,8054,3.83111,43.5775,"03° 49' 52.00'' Est, 43° 34' 39.00'' Nord",34270,1 Rue Bobby Lapointe,devant la porte d'entrée,34430,SAINT-JEAN-DE-VEDAS,25/01/2006,En extérieur,FicheMesure8054.pdf,Oui,1.44,Rue / Route / Parking,AEXPERTISE,1
77,8055,3.8288900000000003,43.568059999999996,"03° 49' 44.00'' Est, 43° 34' 05.00'' Nord",34270,2 Rue Du brucq,devant le portail du garage,34430,SAINT-JEAN-DE-VEDAS,25/01/2006,En extérieur,FicheMesure8055.pdf,Oui,2.46,Rue / Route / Parking,AEXPERTISE,1
78,8475,3.91028,43.65722,"03° 54' 37.00'' Est, 43° 39' 26.00'' Nord",34120,4 Rue Belvédère,devant le n°4 de la rue Belvédère,34830,JACOU,18/04/2006,En extérieur,FicheMesure8475.pdf,Oui,1.75,Rue / Route / Parking,AEXPERTISE,1
79,8488,3.69361,43.65028,"03° 41' 37.00'' Est, 43° 39' 01.00'' Nord",34163,Avenue Font Mosson,"Ecole Maternelle de Montarnaud, dans la cour, entre le préau et l'aire de jeu",34570,MONTARNAUD,17/05/2006,En extérieur,FicheMesure8488.pdf,Oui,0.35,Rue / Route / Parking,AEXPERTISE,1
80,8490,3.6975,43.65972,"03° 41' 51.00'' Est, 43° 39' 35.00'' Nord",34163,Lotissement Crouzette,"Devant le Collège Vincent Badie de Montarnaud, sur le trottoir, en face du parc à vélo",34570,MONTARNAUD,17/05/2006,En extérieur,FicheMesure8490.pdf,Oui,0.27,Rue / Route / Parking,AEXPERTISE,1
81,8495,3.85333,43.59111,"03° 51' 12.00'' Est, 43° 35' 28.00'' Nord",34172,3220 Boulevard Paul Valéry,"école supérieure des arts et des médias, en face du château d'eau, devant l'accès à la chaufferie",34000,MONTPELLIER,19/04/2006,En extérieur,FicheMesure8495.pdf,Oui,0.42,Rue / Route / Parking,AEXPERTISE,1
82,8496,3.85417,43.59083,"03° 51' 15.00'' Est, 43° 35' 27.00'' Nord",34172,3220 Boulevard Paul Valéry,"école supérieure des arts et des médias, à l'entrée du parking",34000,MONTPELLIER,19/04/2006,En extérieur,FicheMesure8496.pdf,Oui,0.4,Rue / Route / Parking,AEXPERTISE,1
83,8497,3.85333,43.59028,"03° 51' 12.00'' Est, 43° 35' 25.00'' Nord",34172,3220 Boulevard Paul Valéry,à l'angle sud est du bâtiment principal de l'école supérieur des arts et métiers,34000,MONTPELLIER,19/04/2006,En extérieur,FicheMesure8497.pdf,Oui,0.19,Rue / Route / Parking,AEXPERTISE,1
84,8503,3.8386099999999996,43.56361,"03° 50' 19.00'' Est, 43° 33' 49.00'' Nord",34270,Rue Saint Exupery,"Entreprise Unibeton, rue Saint Exupery, toit du silo annexe situé côté cabine de commande",34430,SAINT-JEAN-DE-VEDAS,20/04/2006,En extérieur,FicheMesure8503.pdf,Oui,2.68,Divers,AEXPERTISE,1
